scenario_id,ablation,full_decision,unsafe_decision,safe_decision,false_green,prevented_by_coverage,acceptable_rate,cost_per_acceptable_usd,p95_task_cost_usd,incremental_value_usd
a5-t0.1-h5-l10-bc0-ba0.95-ah0-v5,unit_economics,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-5.8500
a5-t0.1-h5-l10-bc0-ba0.95-ah0-v5,tail_risk,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-5.8500
a5-t0.1-h5-l10-bc0-ba0.95-ah0-v5,business_value,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-5.8500
a5-t0.1-h5-l10-bc0-ba0.95-ah0-v5,counterfactual,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-5.8500
a5-t0.1-h5-l10-bc0-ba0.95-ah0-v5,runtime_caps,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-5.8500
a5-t0.1-h5-l10-bc4-ba0.7-ah0-v5,outcome_quality,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-0.6000
a5-t0.1-h5-l10-bc4-ba0.7-ah0-v5,unit_economics,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-0.6000
a5-t0.1-h5-l10-bc4-ba0.7-ah0-v5,tail_risk,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-0.6000
a5-t0.1-h5-l10-bc4-ba0.7-ah0-v5,business_value,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-0.6000
a5-t0.1-h5-l10-bc4-ba0.7-ah0-v5,counterfactual,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-0.6000
a5-t0.1-h5-l10-bc4-ba0.7-ah0-v5,runtime_caps,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-0.6000
a5-t0.1-h5-l10-bc4-ba0.95-ah0-v5,outcome_quality,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-1.8500
a5-t0.1-h5-l10-bc4-ba0.95-ah0-v5,unit_economics,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-1.8500
a5-t0.1-h5-l10-bc4-ba0.95-ah0-v5,tail_risk,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-1.8500
a5-t0.1-h5-l10-bc4-ba0.95-ah0-v5,business_value,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-1.8500
a5-t0.1-h5-l10-bc4-ba0.95-ah0-v5,counterfactual,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-1.8500
a5-t0.1-h5-l10-bc4-ba0.95-ah0-v5,runtime_caps,STOP,STOP,INCOMPLETE,false,false,0.500,7.2000,10.1000,-1.8500
a5-t1.5-h0-l0-bc0-ba0.7-ah0-v5,outcome_quality,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-2.5000
a5-t1.5-h0-l0-bc0-ba0.7-ah0-v5,unit_economics,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-2.5000
a5-t1.5-h0-l0-bc0-ba0.7-ah0-v5,tail_risk,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-2.5000
a5-t1.5-h0-l0-bc0-ba0.7-ah0-v5,business_value,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-2.5000
a5-t1.5-h0-l0-bc0-ba0.7-ah0-v5,counterfactual,STOP,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,-2.5000
a5-t1.5-h0-l0-bc0-ba0.7-ah0-v5,runtime_caps,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-2.5000
a5-t1.5-h0-l0-bc0-ba0.95-ah0-v5,outcome_quality,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-3.7500
a5-t1.5-h0-l0-bc0-ba0.95-ah0-v5,unit_economics,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-3.7500
a5-t1.5-h0-l0-bc0-ba0.95-ah0-v5,tail_risk,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-3.7500
a5-t1.5-h0-l0-bc0-ba0.95-ah0-v5,business_value,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-3.7500
a5-t1.5-h0-l0-bc0-ba0.95-ah0-v5,counterfactual,STOP,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,-3.7500
a5-t1.5-h0-l0-bc0-ba0.95-ah0-v5,runtime_caps,STOP,STOP,INCOMPLETE,false,false,0.500,3.0000,1.5000,-3.7500
a5-t1.5-h0-l0-bc4-ba0.7-ah0-v5,outcome_quality,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,1.5000
a5-t1.5-h0-l0-bc4-ba0.7-ah0-v5,unit_economics,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,1.5000
a5-t1.5-h0-l0-bc4-ba0.7-ah0-v5,tail_risk,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,1.5000
a5-t1.5-h0-l0-bc4-ba0.7-ah0-v5,business_value,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,1.5000
a5-t1.5-h0-l0-bc4-ba0.7-ah0-v5,counterfactual,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,1.5000
a5-t1.5-h0-l0-bc4-ba0.7-ah0-v5,runtime_caps,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,1.5000
a5-t1.5-h0-l0-bc4-ba0.95-ah0-v5,outcome_quality,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,0.2500
a5-t1.5-h0-l0-bc4-ba0.95-ah0-v5,unit_economics,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,0.2500
a5-t1.5-h0-l0-bc4-ba0.95-ah0-v5,tail_risk,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,0.2500
a5-t1.5-h0-l0-bc4-ba0.95-ah0-v5,business_value,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,0.2500
a5-t1.5-h0-l0-bc4-ba0.95-ah0-v5,counterfactual,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,0.2500
a5-t1.5-h0-l0-bc4-ba0.95-ah0-v5,runtime_caps,ASSIST,ASSIST,INCOMPLETE,false,false,0.500,3.0000,1.5000,0.2500
a5-t1.5-h0-l10-bc0-ba0.7-ah0-v5,outcome_quality,STOP,STOP,INCOMPLETE,false,false,0.500,5.0000,11.5000,-3.5000
a5-t1.5-h0-l10-bc0-ba0.7-ah0-v5,unit_economics,STOP,STOP,INCOMPLETE,false,false,0.500,5.0000,11.5000,-3.5000
a5-t1.5-h0-l10-bc0-ba0.7-ah0-v5,tail_risk,STOP,STOP,INCOMPLETE,false,false,0.500,5.0000,11.5000,-3.5000
a5-t1.5-h0-l10-bc0-ba0.7-ah0-v5,business_value,STOP,STOP,INCOMPLETE,false,false,0.500,5.0000,11.5000,-3.5000
a5-t1.5-h0-l10-bc0-ba0.7-ah0-v5,counterfactual,STOP,ASSIST,INCOMPLETE,false,false,0.500,5.0000,11.5000,-3.5000
